,race_id,venue,race_no,config,surface,distance,going,prize,race_class,place_combination1,place_combination2
3241,3241,1,4,2,0,1800,1,700000,4,4,3
3242,3242,1,5,2,0,1650,1,700000,4,8,11
3243,3243,1,6,2,0,1200,1,950000,3,3,10
3244,3244,1,7,2,0,1650,1,950000,3,10,9
3245,3245,1,8,2,0,1000,1,950000,3,8,11
3246,3246,0,1,5,0,1000,1,700000,4,7,14
3247,3247,0,2,5,0,1400,1,540000,5,5,8
3248,3248,0,3,5,0,1400,1,2000000,0,3,1
3249,3249,0,4,5,0,1000,1,950000,3,7,1
3250,3250,0,5,5,0,1600,1,700000,4,13,1
3251,3251,0,6,5,0,1400,1,700000,4,12,4
3252,3252,0,7,0,1,1200,1,700000,4,6,1
3253,3253,0,8,5,0,1600,1,950000,3,2,11
3254,3254,0,9,0,1,1200,1,950000,3,8,1
3255,3255,0,10,0,1,1200,1,1400000,2,9,5
3256,3256,0,11,5,0,1400,1,950000,3,5,2
3257,3257,1,1,4,0,1000,1,540000,5,7,10
3258,3258,1,2,4,0,1200,1,700000,4,9,2
3259,3259,1,3,4,0,2200,1,950000,3,6,10
3260,3260,1,4,4,0,1650,1,700000,4,2,4
3261,3261,1,5,4,0,1200,1,2000000,1,5,6
3262,3262,1,6,4,0,1000,1,700000,4,11,2
3263,3263,1,7,4,0,1200,1,950000,3,1,8
3264,3264,1,8,4,0,1650,1,950000,3,12,4
3265,3265,0,1,1,0,1200,1,700000,4,4,12
3266,3266,0,2,1,0,1200,1,540000,5,10,3
3267,3267,0,3,1,0,1600,1,950000,3,7,4
3268,3268,0,4,1,0,2000,1,700000,4,5,12
3269,3269,0,5,1,0,1400,1,700000,4,2,6
3270,3270,0,6,1,0,1600,1,700000,4,11,10
3271,3271,0,7,1,0,1400,1,950000,3,2,12
3272,3272,0,8,1,0,1200,1,950000,3,4,1
3273,3273,0,9,1,0,1800,1,1400000,2,4,6
3274,3274,0,10,1,0,1400,1,1400000,2,6,7
3275,3275,1,1,5,0,1650,1,540000,5,7,1
3276,3276,1,2,5,0,1200,1,700000,4,5,11
3277,3277,1,3,5,0,1650,1,700000,4,7,9
3278,3278,1,4,5,0,1650,1,700000,4,3,4
3279,3279,1,5,5,0,1000,1,950000,3,8,10
3280,3280,1,6,5,0,1650,1,950000,3,8,11
3281,3281,1,7,5,0,1650,1,1400000,2,5,12
3282,3282,1,8,5,0,1200,1,1400000,2,2,3
3283,3283,0,1,3,0,1200,1,700000,4,5,7
3284,3284,0,2,3,0,1400,1,540000,5,4,11
3285,3285,0,3,3,0,1600,1,700000,4,6,9
3286,3286,0,4,3,0,2000,1,950000,3,2,8
3287,3287,0,5,3,0,1800,1,540000,5,1,7
3288,3288,0,6,3,0,1200,1,700000,4,1,13
3289,3289,0,7,3,0,1400,1,700000,4,7,5
3290,3290,0,8,3,0,1600,1,950000,3,7,11
3291,3291,0,9,3,0,1200,1,950000,3,1,10
